District_Name,Rainfall
24 PARAGANAS NORTH,1758.837692
24 PARAGANAS SOUTH,1711.301872
ADILABAD,1112.562911
AGAR MALWA,932.0989321
AGRA,493.6179822
AHMADABAD,830.5983173
AHMEDNAGAR,1053.182664
AIZAWL,1735.459501
AJMER,486.2245832
AKOLA,668.7135714
ALAPPUZHA,2994.791397
ALIGARH,509.4510933
ALIPURDUAR,5683.720888
ALIRAJPUR,905.6456635
ALMORA,1069.060051
ALWAR,494.0785236
AMBALA,807.7796922
AMBEDKAR NAGAR,1177.083709
AMETHI,645.1592182
AMRAVATI,802.6503846
AMRELI,1139.522417
AMRITSAR,565.9019719
AMROHA,678.7896072
ANAND,945.356426
ANANTAPUR,949.0891783
ANANTNAG,925.2749503
ANJAW,1947.739021
ANUGUL,1834.883213
ANUPPUR,1531.878413
ARARIA,2020.946447
ARIYALUR,1203.477782
ARVALLI,867.9335664
ARWAL,880.0107932
ASHOKNAGAR,980.9779363
AURAIYA,244.7475919
AURANGABAD_M,659.2542518
AURANGABAD_B,882.4616771
AYODHYA,1183.15191
AZAMGARH,986.1225864
BAGALKOT,909.2868865
BAGESHWAR,1961.314508
BAGHPAT,571.9338221
BAHRAICH,1143.942496
BAKSA,2184.902528
BALAGHAT,1533.47988
BALANGIR,1506.038841
BALESHWAR,1606.021079
BALLARI,852.1612111
BALLIA,1235.458268
BALOD,1347.349185
BALODA BAZAR,1274.788441
BALRAMPUR_UP,1161.142676
BALRAMPUR_CH,1595.755314
BANAS KANTHA,775.7697807
BANDA,891.6097863
BANDIPORA,713.6258827
BANKA,1162.646596
BANKURA,1509.57995
BANSWARA,1182.339986
BARABANKI,1472.127121
BARAMULLA,1016.075456
BARAN,743.8290232
BAREILLY,909.6799699
BARGARH,1576.139228
BARMER,355.4251278
BARNALA,566.5548477
BARPETA,2775.918928
BARWANI,1074.883682
BASTAR,1733.224338
BASTI,1500.78983
BATHINDA,469.9055196
BEED,998.8285044
BEGUSARAI,1442.29251
BELGAUM,1076.879527
BEMETARA,1319.839528
BANGALORE RURAL,1002.356334
BANGALORE URBAN,1120.478294
BETUL,1288.058004
BHADOHI,1007.781689
BHADRADRI KOTHAGUDEM,1863.686551
BHADRAK,1808.487574
BHAGALPUR,1313.114594
BHANDARA,1241.927918
BHARATPUR,477.8465423
BHARUCH,1265.909524
BHAVNAGAR,757.8000825
BHILWARA,565.3773126
BHIND,484.2229155
BHIWANI,279.4922721
BHOJPUR,1100.104452
BHOPAL,1232.242918
BIDAR,1395.665003
BIJAPUR,2119.470061
BIJNOR,1031.30195
BIKANER,296.2012647
BILASPUR_CH,964.8436065
BILASPUR_HP,1170.09691
BIRBHUM,1538.554381
BISHNUPUR,1176.798899
BISWANATH,2191.590151
BOKARO,1139.133212
BONGAIGAON,3899.189357
BOTAD,1160.558308
BOUDH,1771.46554
BUDAUN,577.3728156
BADGAM,860.6176366
BULANDSHAHR,400.1319999
BULDHANA,740.572177
BUNDI,531.8593046
BURHANPUR,857.7452356
BUXAR,1176.576813
CACHAR,2219.209649
CENTRAL,441.307839
CHAMARAJANAGAR,951.7833941
CHAMBA,1316.821214
CHAMOLI,1449.284908
CHAMPAWAT,1204.768123
CHAMPHAI,1386.582951
CHANDAULI,804.2356605
CHANDEL,1152.669768
CHANDIGARH,925.385294
CHANDRAPUR,1071.922185
CHANGLANG,2270.658484
CHARAIDEO,2213.562849
CHARKI DADRI,281.9382132
CHATRA,1189.413888
CHENGALPATTU,1405.159696
CHENNAI,1313.26217
CHHATARPUR,880.4882702
CHHINDWARA,1459.151584
CHHOTAUDEPUR,1077.955083
CHIKBALLAPUR,1026.843081
CHIKMAGALUR,1489.195961
CHIRANG,4750.438665
CHITRADURGA,745.0037764
CHITRAKOOT,1066.061012
CHITTOOR,1448.113662
CHITTORGARH,674.6761582
CHURACHANDPUR,1249.798594
CHURU,456.3748645
COIMBATORE,1523.303677
COOCHBEHAR,5099.688847
CUDDALORE,1496.505952
CUTTACK,1690.956175
DAKSHIN KANNAD,3840.775649
DAMOH,991.3810494
DANG,1233.818722
DANTEWADA,1722.199961
DARBHANGA,1728.484763
DARJEELING,4224.248912
DARRANG,1628.972599
DATIA,490.9918991
DAUSA,555.1926129
DAVANGERE,828.438498
DEHRADUN,1270.061614
DEOGARH,2117.001255
DEOGHAR,1339.364332
DEORIA,1423.862905
DEVBHUMI DWARKA,2237.037557
DEWAS,1476.254622
DHALAI,2038.600452
DHAMTARI,1300.555228
DHANBAD,1262.458132
DHAR,994.6197243
DHARMAPURI,875.2534465
DHARWAD,936.0837294
DHEMAJI,2727.549177
DHENKANAL,1777.491252
DHOLPUR,490.2669926
DHUBRI,3721.840372
DHULE,909.9361604
DIBANG VALLEY,3392.662282
DIBRUGARH,2295.025263
DIMA HASAO,1310.02996
DIMAPUR,1513.647743
DINAJPUR DAKSHIN,1013.350856
DINAJPUR UTTAR,2245.431744
DINDIGUL,942.8873325
DINDORI,1695.888135
DISTRICT S,1170.82219
DODA,1253.978268
DOHAD,739.9747129
DUMKA,1313.805951
DUNGARPUR,833.3697331
DURG,1392.936225
EAST,493.5564744
EAST DISTRICT,3473.96052
EAST GARO HILLS,4209.178107
EAST GODAVARI,1478.907595
