,Year,District_Name,AnnualRainfall,AvgTemp
0,1997,24 PARAGANAS NORTH,1800.533672,26.47336743
1,1998,24 PARAGANAS NORTH,1885.56794,26.68869175
2,1999,24 PARAGANAS NORTH,2251.207145,26.90538691
3,2000,24 PARAGANAS NORTH,1673.972368,26.56196241
4,2001,24 PARAGANAS NORTH,1615.778988,26.45295479
5,2002,24 PARAGANAS NORTH,1833.703535,26.64685549
6,2003,24 PARAGANAS NORTH,1817.4266,26.62289309
7,2004,24 PARAGANAS NORTH,1466.710873,26.75548211
8,2005,24 PARAGANAS NORTH,1817.839023,26.91049927
9,2006,24 PARAGANAS NORTH,1274.70564,26.86573421
10,2007,24 PARAGANAS NORTH,1480.614561,26.57744829
11,2008,24 PARAGANAS NORTH,1374.780432,26.78323003
12,2009,24 PARAGANAS NORTH,1533.407287,27.39521335
13,2010,24 PARAGANAS NORTH,1219.293594,27.41815164
14,2011,24 PARAGANAS NORTH,1226.163488,26.45425132
15,2012,24 PARAGANAS NORTH,450.5175685,26.93726935
16,2013,24 PARAGANAS NORTH,1755.693345,26.53650255
17,2014,24 PARAGANAS NORTH,1421.395865,26.90118442
18,1997,24 PARAGANAS SOUTH,1778.618027,26.42347325
19,1998,24 PARAGANAS SOUTH,1987.63911,26.56327534
20,1999,24 PARAGANAS SOUTH,2340.608415,26.90398198
21,2000,24 PARAGANAS SOUTH,1527.633244,26.53660513
22,2001,24 PARAGANAS SOUTH,1637.942645,26.40848996
23,2002,24 PARAGANAS SOUTH,1953.993904,26.52587231
24,2003,24 PARAGANAS SOUTH,2026.200511,26.51864936
25,2004,24 PARAGANAS SOUTH,1493.075184,26.74050786
26,2005,24 PARAGANAS SOUTH,2072.991711,26.87305503
27,2006,24 PARAGANAS SOUTH,1556.80703,26.83668535
28,2007,24 PARAGANAS SOUTH,1968.322364,26.5248243
29,2008,24 PARAGANAS SOUTH,1500.434466,26.67320883
30,2009,24 PARAGANAS SOUTH,1508.808472,27.32997599
31,2010,24 PARAGANAS SOUTH,1129.333748,27.3610925
32,2011,24 PARAGANAS SOUTH,1457.736663,26.35886884
33,2012,24 PARAGANAS SOUTH,772.8921481,26.83848693
34,2013,24 PARAGANAS SOUTH,1990.242622,26.48140411
35,2014,24 PARAGANAS SOUTH,1436.303686,26.86521665
36,1997,ADILABAD,1002.775757,27.47201039
37,1998,ADILABAD,1278.995748,27.74754747
38,1999,ADILABAD,992.0781595,27.23055064
39,2000,ADILABAD,948.9790606,27.2779412
40,2001,ADILABAD,1051.33737,27.43329996
41,2002,ADILABAD,1000.147077,27.86170702
42,2003,ADILABAD,991.30786,27.93523892
43,2004,ADILABAD,744.8493907,27.59043383
44,2005,ADILABAD,1369.294654,27.30776269
45,2006,ADILABAD,1468.929089,27.24047935
46,2007,ADILABAD,965.742946,27.55082063
47,2008,ADILABAD,966.1575338,27.62810727
48,2009,ADILABAD,681.3070401,28.50158453
49,2010,ADILABAD,1445.121381,28.18617919
50,2011,ADILABAD,751.1038522,27.35854367
51,2012,ADILABAD,1103.775745,27.67548941
52,2013,ADILABAD,1754.152168,27.28255284
53,2014,ADILABAD,947.292995,27.79663349
54,1997,AGAR MALWA,1061.172504,24.71683847
55,1998,AGAR MALWA,832.539209,25.46191256
56,1999,AGAR MALWA,1085.091292,25.00464893
57,2000,AGAR MALWA,572.7801228,25.5084997
58,2001,AGAR MALWA,625.4429601,25.81924479
